movie_id,title_ko,title_en,online_open,theater_open,lifetime_vod,first_year_vod,first_year_note,peak_share,n_years
FS20183782,기생충,PARASITE,2019-07-29,2019-05-30,2772468,2660596,,0.361,8
FS20136803,겨울왕국,Frozen,2014-02-27,2014-01-16,2725595,1310204,,0.197,13
FS20172742,범죄도시,THE OUTLAWS,2017-11-14,2017-10-03,2612055,1975347,,0.269,10
FS20182530,극한직업,Extreme Job,2019-03-04,2019-01-23,2070446,1924046,,0.392,8
FS20150976,신과함께-죄와 벌,Along with the Gods: The Two Worlds,2018-02-12,2017-12-20,1889523,1811219,,0.341,9
FS20204548,범죄도시2,The Roundup,2022-07-18,2022-05-18,1802372,1670417,,0.414,5
FS20174061,보스 베이비,The Boss Baby,2017-06-02,2017-05-03,1669509,991464,,0.171,10
FS20226411,범죄도시3,THE ROUNDUP : NO WAY OUT,2023-06-26,2023-05-31,1619621,1556801,,0.58,4
FS20148048,베테랑,Veteran,2015-10-07,2015-08-05,1574020,1360722,,0.232,12
FS20140194,곡성,THE WAILING,2016-06-22,2016-05-12,1514726,1180194,,0.284,11
FS20124401,신세계,New World,2014-02-10,2013-02-21,1488703,93013,,0.239,14
FS20185341,마녀,The Witch : Part 1. The Subversion,2018-07-23,2018-06-27,1385138,1028860,,0.325,9
FS20177478,어벤져스: 인피니티 워,Avengers: Infinity War,2018-08-22,2018-04-25,1379329,1096036,,0.288,9
FS20126091,관상,The Face Reader,2013-11-12,2013-09-11,1342521,1204510,,0.36,14
FS20113533,후궁 : 제왕의 첩,The Concubine,2012-10-14,2012-06-06,1320153,258330,,0.41,15
FS20124034,도둑들,The Thieves,2012-10-14,2012-07-25,1268465,1150562,,0.54,15
FS20153444,럭키,LUCK-KEY,2016-10-18,2016-10-13,1261154,1154124,,0.367,11
FS20165443,모아나,Moana,2017-02-08,2017-01-12,1239063,748237,,0.185,10
FS20129370,명량,The Admiral: Roaring Currents,2014-12-16,2014-07-30,1220574,981907,,0.439,13
FS20234675,파묘,Exhuma,2024-02-22,,1215137,1204561,,0.384,3
FS20124079,"광해, 왕이 된 남자",Masquerade,2013-01-10,2012-09-13,1196542,975323,,0.541,14
FS20148851,암살,Assassination,2015-09-23,2015-07-22,1191590,1058255,,0.439,12
FS20127593,7번방의 선물,Miracle in Cell No.7,2013-04-10,2013-01-23,1189774,993158,,0.268,14
FS20155501,주토피아,Zootopia,2016-05-18,2016-02-17,1154053,714495,,0.178,11
FS20145507,검사외전,A Violent Prosecutor,2016-03-23,2016-02-03,1152520,1045500,,0.281,11
FS20156564,부산행,TRAIN TO BUSAN,2016-08-17,2016-07-20,1144445,908327,,0.264,11
FS20124721,어벤져스,The Avengers,2013-07-03,2012-04-26,1120371,158643,,0.182,15
FS20186202,신과함께-인과 연,Along with the Gods: The Last 49 Days,2018-09-17,2018-08-01,1118204,1047910,,0.428,9
FS20228797,범죄도시4,THE ROUNDUP : PUNISHMENT,2024-04-24,,1113021,1080109,,0.586,3
FS20151228,공조,Confidential Assignment,2017-01-03,2017-01-18,1112399,925299,,0.431,10
FS20184889,어벤져스: 엔드게임,Avengers: Endgame,2019-01-08,2019-04-24,1101622,504736,,0.184,8
FS20197803,겨울왕국 2,Frozen 2,2020-02-03,2019-11-21,1101122,894525,,0.301,8
FS20184621,엑시트,EXIT,2019-09-04,2019-07-31,1089713,1014378,,0.396,8
FS20098169,쥬라기 월드,Jurassic World,2015-06-09,2015-06-11,1089183,794021,,0.341,12
FS20188941,악인전,"The Gangster, The Cop, The Devil",2019-06-17,2019-05-15,1061020,977070,,0.336,8
FS20177538,완벽한 타인,Intimate Strangers,2019-09-30,2018-10-31,1043642,72536,,0.309,9
FS20113557,범죄와의 전쟁: 나쁜놈들 전성시대,Nameless Gangster : Rules of the Time,2012-10-14,2012-02-02,1035465,169908,,0.389,15
FS20131102,수상한 그녀,Miss Granny,2014-04-29,2014-01-22,1032925,918497,,0.531,13
FS20145361,미니언즈,Minions,2015-08-24,2015-07-29,1028813,471116,,0.125,12
FS20137048,국제시장,Ode to My Father,2015-04-20,2014-12-17,1024422,840863,,0.281,12
FS20162442,청년경찰,Midnight Runners,2017-09-19,2017-08-09,1024125,902610,,0.386,10
FS20150025,내부자들: 디 오리지널,Inside Men: The Original,2016-01-19,2015-12-31,1018199,848677,,0.312,11
FS20140110,킹스맨 : 시크릿 에이전트,Kingsman: The Secret Service,2015-04-20,2015-02-11,1016818,621315,,0.194,12
FS20162869,택시운전사,A Taxi Driver,2017-09-20,2017-08-02,1013769,925157,,0.452,10
FS20137044,친구 2,Friend : The Great Legacy,2013-12-18,2013-11-14,983637,873035,,0.491,14
FS20179383,독전,Believer,2018-06-15,2018-05-22,977779,891135,,0.437,6
FS20192206,백두산,ASHFALL,2020-01-15,2019-12-19,977734,928275,,0.426,7
FS20010291,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,2013-12-02,2001-12-13,977452,16483,,0.036,15
FS20142402,간신,The Treacherous,2015-06-16,2015-05-21,928901,753119,,0.28,12
FS20179985,코코,COCO,2018-02-12,2018-01-11,927691,619379,,0.158,9
FS20197922,다만 악에서 구하소서,DELIVER US FROM EVIL,2020-09-02,2020-08-05,920078,867430,,0.492,7
FS20183867,알라딘,Aladdin,2018-12-19,2019-05-23,918524,508748,,0.282,8
FS20170402,강철비,Steel Rain,2018-01-11,2017-12-14,915366,831608,,0.411,8
FS20144444,아가씨,The Handmaiden,2016-07-25,2016-06-01,913461,682103,,0.266,11
FS20184481,성난황소,Unstoppable,2018-12-11,2018-11-22,901708,867436,,0.531,9
FS20156807,뽀로로 극장판 컴퓨터 왕국 대모험,Pororo3 :  Cyber Space Adventure,2015-12-23,2015-12-10,895299,439337,,0.157,12
FS20100215,점박이:한반도의 공룡3D,Speckles: The Tarbosaurus,2012-11-06,2012-01-26,892649,305594,,0.084,15
FS20179086,쥬라기 월드: 폴른 킹덤,JURASSIC WORLD: FALLEN KINGDOM,2018-06-26,2018-06-06,891501,738418,,0.429,9
FS20151225,인사이드 아웃,Inside Out,2015-10-13,2015-07-09,878749,424970,,0.109,12
FS20170590,1987,1987: When the Day Comes,2018-02-05,2017-12-27,877060,774382,,0.43,9
FS20134803,변호인,The Attorney,2014-03-07,2013-12-18,864178,533364,,0.326,13
FS20124074,건축학개론,Architecture 101,2012-10-14,2012-03-22,834259,180351,,0.239,15
FS20153443,아수라,Asura : The City of Madness,2016-09-06,2016-09-28,832917,617321,,0.284,11
FS20163181,닥터 스트레인지,Doctor Strange,2017-01-24,2016-10-26,829822,463857,,0.16,10
FS20153781,데드풀,Deadpool,2016-03-23,2016-02-17,824823,503937,,0.171,11
FS20151229,더 킹,The King,2017-02-14,2017-01-18,822723,709200,,0.301,10
FS20165748,꾼,The Swindlers,2018-05-02,2017-11-22,820919,102400,,0.411,10
FS20136064,해적: 바다로 간 산적,The Pirates,2014-10-01,2014-08-06,820126,722360,,0.314,13
FS20162181,프리즌,The Prison,2017-04-24,2017-03-23,817741,735162,,0.417,10
FS20199816,담보,Pawn,2020-10-20,2020-09-29,805286,772107,,0.336,7
FS20134798,연평해전,Northern Limit Line,2015-07-29,2015-06-24,802897,683620,,0.458,12
FS20242837,왕과 사는 남자,The King's Warden,2026-02-04,,790803,790803,partial(<12mo data),0.628,1
FS20134804,타짜-신의 손,Tazza-The Hidden Card,2014-10-15,2014-09-03,790466,530726,,0.263,13
FS20179189,암수살인,Dark Figure of Crime,2018-10-30,2018-10-03,787233,745193,,0.455,9
FS20212866,서울의 봄,12.12: THE DAY,2023-11-22,,783453,754220,,0.651,3
FS20188750,나쁜 녀석들: 더 무비,The Bad Guys: Reign of Chaos,2019-10-07,2019-09-11,780964,716754,,0.332,8
FS20176122,안시성,The Great Battle,2018-10-23,2018-09-19,768831,723801,,0.398,9
FS20020222,해리포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,2013-11-25,2002-12-13,764751,19613,,0.039,15
FS20215601,공조2: 인터내셔날,Confidential Assignment2: International,2022-10-14,2022-09-07,760643,753284,,0.424,5
FS20148846,사도,The Throne,2015-10-26,2015-09-16,759671,642939,,0.365,12
FS20175222,킹스맨: 골든 서클,Kingsman: The Golden Circle,2017-10-26,2017-09-27,757949,646711,,0.297,10
FS20170561,블랙 팬서,Black Panther,2018-05-23,2018-02-14,754054,639241,,0.436,9
FS20133322,인간중독,Obsessed,2016-06-02,2014-05-14,753158,45773,,0.226,13
FS20167303,스파이더맨: 홈 커밍,Spider-Man: Homecoming,2017-09-12,2017-07-05,750974,561363,,0.221,10
FS20192193,도굴,Collectors,2020-12-16,2020-11-04,750378,738642,,0.311,6
FS20175121,토르: 라그나로크,THOR: RAGNAROK,2018-01-25,2017-10-25,749108,583965,,0.216,9
FS20177221,베놈,Venom,2018-12-04,2018-10-03,748151,617170,,0.474,9
FS20139201,신의 한 수,The Divine Move,2016-07-14,2014-07-03,743482,21837,,0.487,13
FS20176104,그것만이 내 세상,Keys to the Heart,2018-02-19,2018-01-17,743185,647050,,0.387,9
FS20167904,라라랜드,LA LA LAND,2017-04-17,2016-12-07,742144,427079,,0.132,10
FS20124066,은교,Eungyo,2012-10-14,2012-04-25,735572,118520,,0.304,15
FS20124935,박수건달,Man on the Edge,2013-03-04,2013-01-09,734126,689972,,0.558,14
FS20184462,봉오동 전투,The Battle: Roar to Victory,2019-09-02,2019-08-07,729373,683586,,0.585,8
FS20124083,베를린,The Berlin File,2013-04-23,2013-01-30,729105,556142,,0.288,14
FS20198414,시동,START-UP,2020-01-10,2019-12-18,727192,695444,,0.476,7
FS20224882,마녀(魔女) Part2. The Other One,The Witch: Part 2. The Other One,2022-07-07,2022-06-15,724612,698660,,0.509,5
FS20161725,마스터,Master,2016-12-23,2016-12-21,716440,630432,,0.514,10
FS20166488,미이라,The Mummy,2017-06-28,2017-06-06,715388,667376,,0.346,10
FS20154910,터널,Tunnel,2016-08-08,2016-08-10,712800,648002,,0.403,11
FS20151383,마션,The Martian,2015-11-26,2015-10-08,707050,579500,,0.278,12
FS20199883,오케이 마담,OK! MADAM,2020-09-11,2020-08-12,701712,691214,,0.392,7
FS20113554,내 아내의 모든 것,All About My Wife,2012-10-14,2012-05-17,701065,186944,,0.429,14
FS20148493,어벤져스: 에이지 오브 울트론,The Avengers: Age of Ultron,2015-09-15,2015-04-23,700244,379715,,0.149,12
FS20180939,남산의 부장들,The Man Standing Next,2020-02-11,2020-01-22,699707,671785,,0.39,7
FS20180290,아쿠아맨,AQUAMAN,2019-01-18,2018-12-19,696687,623310,,0.236,8
FS20148855,극비수사,The Classified File,2015-07-13,2015-06-18,695310,625126,,0.334,12
FS20121621,아이언맨 3,Iron Man 3,2013-07-22,2013-04-25,687307,478287,,0.233,14
FS20149314,내부자들,Inside Men,2016-01-05,2015-11-19,684466,555596,,0.588,11
FS20181181,미션 임파서블: 폴아웃,Mission:Impossible- Fallout,2019-04-30,2018-07-25,676969,61551,,0.395,9
FS20181434,신의 한 수: 귀수편,The Divine Move 2: The Wrathful,2019-12-04,2019-11-07,676952,654865,,0.443,8
FS20123681,뽀로로 극장판 슈퍼썰매 대모험,Pororo: The Racing Adventure,2014-07-30,2013-01-23,670709,23078,,0.107,14
FS20193321,정직한 후보,HONEST CANDIDATE,2020-03-13,2020-02-12,670474,634730,,0.36,7
FS20139183,역린,The Fatal Encounter,2014-05-28,2014-04-30,670071,583555,,0.436,13
FS20177552,국가부도의 날,Default,2018-12-27,2018-11-28,669053,627347,,0.439,9
FS20140431,메이즈 러너,The Maze Runner,2015-05-07,2014-09-18,665841,128108,,0.387,13
FS20176251,내안의 그놈,The Dude in Me,2019-01-31,2019-01-09,663914,622055,,0.527,8
FS20159646,밀정,The Age of Shadows,2016-08-30,2016-09-07,662429,574818,,0.236,11
FS20135428,어바웃 타임,ABOUT TIME,2014-03-03,2013-12-05,654650,255375,,0.136,13
FS20126469,브레이킹 던 part2,The Twilight Saga: Breaking Dawn Part 2,2013-03-04,2012-11-15,653515,312054,,0.303,14
FS20184572,타짜: 원 아이드 잭,Tazza: One Eyed Jack,2019-10-02,2019-09-11,649020,633272,,0.524,8
FS20145503,검은 사제들,The Priests,2015-12-08,2015-11-05,648337,554309,,0.329,12
FS20122089,슈퍼배드 2,Despicable Me 2,2013-12-10,2013-09-12,646765,200014,,0.179,14
FS20192101,히트맨,HITMAN: AGENT JUN,2020-02-19,2020-01-22,645740,611985,,0.372,7
FS20194376,탑건: 매버릭,Top Gun: Maverick,2022-08-04,2022-06-22,644319,588591,,0.341,5
FS20161481,군함도,The Battleship Island,2017-07-19,2017-07-26,642760,585861,,0.431,10
FS20152022,인턴,The Intern,2015-12-15,2015-09-24,637409,495594,,0.212,12
FS20178161,탐정: 리턴즈,The Accidental Detective 2: In Action,2018-07-16,2018-06-13,629815,590521,,0.359,8
FS20122122,월드 워 Z,World War Z,2013-09-11,2013-06-20,628440,403969,,0.338,14
FS20040598,해리포터와 아즈카반의 죄수,Harry Potter And The Prisoner Of Azkaban,2013-12-02,2004-07-16,627845,14495,,0.038,15
FS20126674,설국열차,Snowpiercer,2014-03-27,2013-08-01,626610,450845,,0.423,13
FS20156557,탐정 : 더 비기닝,THE ACCIDENTAL DETECTIVE,2015-11-04,2015-09-24,625709,439056,,0.346,10
FS20196270,싱크홀,Sinkhole,2021-08-30,2021-08-11,624862,618680,,0.64,6
FS20179101,공작,The Spy Gone North,2018-09-07,2018-08-08,622199,591618,,0.526,8
FS20174846,뽀로로 극장판 공룡섬 대모험,"Pororo, Dinosaur Island Adventure",2017-12-20,2017-12-07,620916,388053,,0.207,10
FS20126672,은밀하게 위대하게,Secretly Greatly,2014-02-10,2013-06-05,618305,39974,,0.6,12
FS20123501,군도: 민란의 시대,KUNDO : Age of the Rampant,2014-08-27,2014-07-23,618068,537644,,0.581,13
FS20138881,나우 유 씨 미 : 마술사기단,Now You See Me,2013-09-23,2013-08-22,616365,294741,,0.22,14
FS20112695,완득이,Punch,2012-10-14,2011-10-20,616229,34787,,0.365,14
FS20193450,반도,Peninsula,2020-07-14,2020-07-15,615492,596632,,0.44,7
FS20149120,인터스텔라,Interstellar,2015-02-25,2014-11-06,606339,406969,,0.204,12
FS20122783,감시자들,Cold Eyes,2013-08-07,2013-07-03,602158,501842,,0.409,13
FS20180868,뺑반,Hit-and-Run Squad,2019-02-14,2019-01-30,600728,584297,,0.446,7
FS20136049,숨바꼭질,Hide and Seek,2013-09-25,2013-08-14,599385,491739,,0.45,14
FS20159364,캡틴 아메리카: 시빌 워,Captain America: Civil War,2016-09-28,2016-04-27,599308,298152,,0.223,11
FS20143580,분노의 질주: 더 세븐,Fast & Furious 7,2015-04-27,2015-04-01,596198,426877,,0.271,12
FS20184082,걸캅스,Miss & Mrs. Cops,2019-06-03,2019-05-09,595489,572425,,0.5,7
FS20163603,가디언즈 오브 갤럭시 VOL. 2,Guardians of the Galaxy VOL. 2,2017-08-29,2017-05-03,593801,433154,,0.191,10
FS20158621,스파이,Spy,2015-06-22,2015-05-21,593629,432781,,0.252,12
FS20124937,감기,Flu,2013-09-24,2013-08-14,593583,391514,,0.497,14
FS20136068,히말라야,The Himalayas,2016-02-03,2015-12-16,589286,539929,,0.532,11
FS20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,2019-07-01,2019-06-19,587250,571393,,0.511,8
FS20189783,챔피언,Champion,2018-05-18,2018-05-01,584906,557247,,0.402,9
FS20185485,보헤미안 랩소디,Bohemian Rhapsody,2019-01-22,2018-10-31,584571,481378,,0.267,8
FS20162365,신비한 동물사전,Fantastic Beasts and Where to Find Them,2017-01-11,2016-11-16,583475,448227,,0.305,10
FS20218541,밀수,Smugglers,2023-09-15,2023-07-26,582928,575890,,0.341,4
FS20151803,쿵푸팬더3,Kung Fu Panda 3,2016-02-24,2016-01-28,582420,421874,,0.269,11
FS20050310,해리 포터와 불의 잔,Harry Potter and the Goblet of Fire,2013-11-25,2005-12-01,577727,9881,,0.039,15
FS20149951,빅 히어로,Big Hero 6,2015-02-16,2015-01-21,573338,383742,,0.227,12
FS20149317,가디언즈 오브 갤럭시,Guardians of the Galaxy,2014-11-03,2014-07-31,573234,249278,,0.163,13
FS20124054,늑대소년,A Werewolf Boy,2012-10-31,,569866,509164,,0.575,12
FS20130442,끝까지 간다,A Hard Day,2014-07-23,2014-05-29,569841,434625,,0.531,13
FS20157881,미션 임파서블: 로그네이션,Mission: Impossible - Rogue Nation,2015-09-09,2015-07-30,567982,411612,,0.272,12
FS20168773,마약왕,The Drug King,2019-01-07,2018-12-19,567833,547744,,0.536,8
FS20124938,용의자,The Suspect,2014-02-03,2013-12-24,566356,441009,,0.388,13
FS20184483,퍼펙트맨,Man of Men,2019-10-21,2019-10-02,565409,535010,,0.523,8
FS20125333,전설의 주먹,Fists of Legend,2013-06-11,2013-04-10,565059,481717,,0.429,13
FS20171909,쥬만지: 새로운 세계,Jumanji: Welcome to the Jungle,2018-01-30,2018-01-03,564164,482463,,0.43,9
FS20134181,오블리비언,Oblivion,2013-07-09,2013-04-11,563091,475196,,0.459,14
FS20173403,슈퍼배드 3,Despicable Me 3,2017-08-29,2017-07-26,561945,343087,,0.227,10
FS20165450,남한산성,The Fortress,2017-11-06,2017-10-03,561308,508892,,0.424,10
FS20204117,모가디슈,Escape from Mogadishu,2021-10-06,2021-07-28,557045,550553,,0.495,6
FS20176103,돈,Money,2019-04-15,2019-03-20,552831,538771,,0.36,8
FS20144641,판도라,Pandora,2017-01-13,2016-12-07,548116,497786,,0.503,10
FS20110905,브레이킹 던 part1,The Twilight Saga: Breaking Dawn - Part 1,2014-01-14,2011-11-30,547414,22902,,0.292,15
FS20176848,데드풀 2,DEADPOOL 2,2018-06-12,2018-05-16,546845,497620,,0.414,9
FS20170513,동네사람들,Ordinary People,2019-09-30,2018-11-07,545101,20726,,0.551,9
FS20167542,분노의 질주: 더 익스트림,The Fast and The Furious 8,2017-05-10,2017-04-12,542929,422073,,0.237,10
FS20154661,형,MY ANNOYING BROTHER,2016-11-21,2016-11-23,540567,458430,,0.444,10
FS20070063,해리 포터와 불사조 기사단,Harry Potter And The Order Of The Phoenix,2013-12-02,2007-07-11,540516,8976,,0.039,15
FS20193069,#살아있다,#ALIVE,2020-07-17,2020-06-24,539565,530192,,0.607,7
FS20090834,아바타,Avatar,2021-12-21,2009-12-17,537969,47846,,0.284,13
FS20124062,연가시,Deranged,2012-10-14,2012-07-05,537504,193186,,0.526,15
FS20124064,돈의 맛,The Taste of Money,2012-10-14,2012-05-17,535654,78869,,0.288,13
FS20180804,곤지암,GONJIAM: Haunted Asylum,2018-04-25,2018-03-28,535202,434900,,0.43,9
FS20161872,너의 이름은.,your name.,2017-07-25,2017-01-04,532760,316076,,0.208,10
FS20162722,보안관,The Sheriff In Town,2017-04-28,2017-05-03,532692,473552,,0.4,10
FS20111009,해리 포터와 죽음의 성물2,Harry Potter and the Deathly Hallows: Part 2,2013-12-02,2011-07-13,523273,6755,,0.067,15
FS20179462,위대한 쇼맨,The Greatest Showman,2018-01-30,2017-12-20,523252,279396,,0.144,9
FS20210028,스파이더맨: 노 웨이 홈,Spider-Man: No Way Home,2022-03-14,2021-12-15,521916,493805,,0.383,5
FS20199950,조커,Joker,2019-10-30,2019-10-02,520466,453873,,0.282,8
FS20090379,해리 포터와 혼혈 왕자,Harry Potter And The Half-Blood Prince,2013-11-25,2009-07-15,519479,10771,,0.039,15
FS20205144,미나리,Minari,2021-04-14,2021-03-03,516842,505904,,0.381,6
FS20149265,기술자들,The Con Artists,2015-02-09,2014-12-24,515838,465147,,0.478,12
FS20150622,메이즈 러너: 스코치 트라이얼,Maze Runner: The Scorch Trials,2015-10-20,2015-09-16,512834,319777,,0.16,12
FS20101395,라푼젤,Tangled,2013-12-02,2011-02-10,512658,83164,,0.039,15
FS20156250,인천상륙작전,Operation Chromite,2016-08-23,2016-07-27,512315,449569,,0.475,11
FS20196271,강철비2: 정상회담,Steel Rain2: Summit,2020-08-13,2020-07-29,508680,502017,,0.568,6
FS20175262,겟 아웃,GET OUT,2017-06-13,2017-05-17,508300,352194,,0.239,10
FS20143572,뷰티 인사이드,The Beauty Inside,2016-12-16,2015-08-20,507940,32737,,0.304,12
FS20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - Parabellum,2019-08-09,2019-06-26,505526,414927,,0.283,8
FS20162025,씽,Sing,2017-03-02,2016-12-21,504561,256531,,0.187,10
FS20112207,미션임파서블:고스트프로토콜,Mission: Impossible: Ghost Protocol,2012-10-14,2011-12-15,504526,2919,,0.445,15
FS20147613,그레이의 50가지 그림자,Fifty Shades of Grey,2015-03-18,2015-02-26,504305,212308,,0.082,12
FS20124127,헝거게임: 판엠의 불꽃,The Hunger Games,2012-10-14,2012-04-05,503180,47297,,0.187,14
FS20141384,터미네이터 제니시스,Terminator Genisys,2015-06-24,2015-07-02,502849,446026,,0.481,11
FS20136052,더 테러 라이브,"The Terror, LIVE",2014-12-18,2013-07-31,501429,9826,,0.588,14
FS20128274,레미제라블,Les Miserables,2013-06-27,2012-12-19,499822,94991,,0.219,14
FS20196850,분노의 질주: 홉스&쇼,Fast & Furious Presents: Hobbs & Shaw,2019-09-09,2019-08-14,498838,449121,,0.323,8
FS20149629,비긴 어게인,Begin Again,2014-09-30,2014-08-13,496865,231264,,0.116,13
FS20143513,미쓰 와이프,Wonderful Nightmare,2015-09-04,2015-08-13,496521,428231,,0.42,12
FS20156082,마이펫의 이중생활,The Secret Life of Pets,2016-09-08,2016-08-03,496004,291453,,0.18,11
FS20164844,불한당: 나쁜 놈들의 세상,The Merciless,2017-06-01,2017-05-17,495385,351334,,0.227,10
FS20131381,컨저링,The Conjuring,2013-12-06,2013-09-17,494475,175392,,0.156,14
FS20150964,조작된 도시,Fabricated City,2017-03-14,2017-02-09,493377,415598,,0.277,10
FS20172603,부라더,The Bros,2017-11-27,2017-11-02,493106,451416,,0.544,10
FS20131248,드래곤 길들이기 2,How To Train Your Dragon 2,2014-08-28,2014-07-23,491151,227424,,0.19,13
FS20125920,이웃사람,The Neighbors,2015-11-12,2012-08-22,490688,7870,,0.432,15
FS20124063,공모자들,Traffickers,2012-10-14,2012-08-29,490534,412796,,0.358,12
FS20191029,82년생 김지영,"KIM JI-YOUNG, BORN 1982",2019-11-26,2019-10-23,489879,481432,,0.559,8
FS20124067,바람과 함께 사라지다,The Grand Heist,2014-04-28,2012-08-08,482936,6177,,0.551,15
FS20161726,임금님의 사건수첩,The King's Case Note,2017-05-22,2017-04-26,482847,449457,,0.376,8
FS20177308,협상,THE NEGOTIATION,2018-10-15,2018-09-19,482353,449702,,0.349,7
FS20126077,어메이징 스파이더맨,The Amazing Spider - Man,2012-10-14,2012-06-28,480279,254037,,0.278,15
FS20170670,목격자,The Witness,2018-09-06,2018-08-15,477714,438537,,0.514,10
FS20176917,램페이지,Rampage,2018-05-03,2018-04-12,477011,452107,,0.301,9
FS20239670,베테랑2,"I, THE EXECUTIONER",2024-09-13,,475450,472878,,0.5,3
FS20181788,콰이어트 플레이스,A Quiet Place,2018-05-15,2018-04-12,472398,235327,,0.184,9
FS20135656,루시,LUCY,2014-09-30,2014-09-03,470101,390471,,0.402,13
FS20113886,회사원,A Company Man,2012-11-26,2012-10-11,461190,393274,,0.525,15
FS20166101,존 윅 - 리로드,John Wick Chapter Two,2017-03-15,2017-02-22,459253,217505,,0.216,10
FS20122021,트랜스포머: 사라진 시대,Transformers : Age of Extinction,2014-09-23,2014-06-25,457932,350483,,0.285,13
FS20171962,킬러의 보디가드,The Hitman's Bodyguard,2017-10-16,2017-08-30,457714,376644,,0.302,10
FS20100312,인셉션,Inception,2014-01-16,2010-07-21,455985,59803,,0.041,15
FS20155826,치외법권,Untouchable Lawmen,2015-09-08,2015-08-27,453493,402076,,0.406,11
FS20138355,토르: 다크 월드,Thor: The Dark World,2014-01-27,2013-10-30,453268,277757,,0.288,13
FS20228930,엘리멘탈,Elemental,2023-08-09,2023-06-14,452519,426679,,0.515,4
FS20030072,니모를 찾아서,Finding Nemo,2013-06-27,2003-06-05,452430,91874,,0.049,15
FS20155702,앤트맨,Ant-Man,2015-09-02,2015-09-03,452154,303724,,0.189,12
FS20112175,컨테이젼,Contagion,2012-10-14,2011-09-22,451659,30,,0.382,14
FS20189463,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,2019-02-11,2019-01-03,451278,347457,,0.214,8
FS20150972,굿바이 싱글,Familyhood,2016-07-19,2016-06-29,449644,408358,,0.402,10
FS20199882,경관의 피,The Policeman’s Lineage,2022-01-18,2022-01-05,447098,443060,,0.404,4
FS20195002,블랙머니,BLACK MONEY,2019-12-11,2019-11-13,445969,434640,,0.458,7
FS20143642,테이큰 3,Taken 3,2015-02-12,2015-01-01,445872,350978,,0.274,12
FS20164721,미녀와 야수,Beauty and the Beast,2017-05-16,2017-03-16,445794,335900,,0.235,10
FS20144741,매드 맥스: 분노의 도로,Mad Max: Fury Road,2017-01-05,2015-05-14,444347,20863,,0.238,12
FS20185046,서치,Searching,2018-10-29,2018-08-29,444219,407592,,0.366,9
FS20150523,엑스맨: 아포칼립스,X-Men: Apocalypse,2016-07-13,2016-05-25,444177,377056,,0.277,10
FS20161907,제이슨 본,Jason Bourne,2016-08-29,2016-07-27,444145,374454,,0.306,11
FS20184482,국제수사,The Golden Holiday,2020-10-13,2020-09-29,444021,438642,,0.349,6
FS20218052,베놈 2: 렛 데어 비 카니지,Venom: Let There Be Carnage,2021-11-17,2021-10-13,442449,406747,,0.361,6
FS20196309,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,2019-09-03,2019-07-02,441968,385368,,0.413,8
FS20124936,나의 PS 파트너,Whatcha Wearin',2013-02-13,2012-12-06,441122,367433,,0.36,13
FS20195920,가장 보통의 연애,Crazy Romance,2019-11-04,2019-10-02,440824,417467,,0.399,8
FS20206061,쥬라기 월드: 도미니언,Jurassic World: Dominion,2022-06-21,2022-06-01,440587,403837,,0.554,5
FS20181877,캡틴 마블,Captain Marvel,2019-06-18,2019-03-06,439352,299722,,0.295,8
FS20162343,악녀,The Villainess,2017-07-28,2017-06-08,438160,397148,,0.47,10
FS20134591,황제를 위하여,For the Emperor,2014-06-26,2014-06-11,437481,325520,,0.366,13
FS20179901,혹성탈출: 종의 전쟁,WAR FOR THE PLANET OF THE APES,2017-09-19,2017-08-15,436223,384166,,0.425,10
FS20172204,명당,FENGSHUI,2018-10-12,2018-09-19,434955,420412,,0.396,8
FS20124032,간기남,The Scent,2018-03-05,2012-04-11,433601,8550,,0.314,15
FS20227762,올빼미,The Night Owl,2023-01-09,2022-11-23,433162,416847,,0.527,4
FS20203286,강릉,Tomb of the River,2021-11-23,2021-11-10,431756,417441,,0.612,6
FS20154242,몬스터 호텔 2,Hotel Transylvania 2,2016-01-19,2015-12-24,430903,212141,,0.154,11
FS20145171,대호,The Tiger,2015-11-23,2015-12-16,429812,405190,,0.424,11
FS20167903,원더풀 고스트,THE SOUL-MATE,2018-10-04,2018-09-26,428351,381010,,0.357,9
FS20101224,해리 포터와 죽음의 성물1,Harry Potter and the Deathly Hallows: Part I,2013-12-02,2010-12-15,428026,7413,,0.041,15
FS20217826,육사오(6/45),6/45,2022-09-27,2022-08-24,427663,387602,,0.557,5
FS20148973,혹성탈출: 반격의 서막,Dawn of the Planet of the Apes,2017-08-09,2014-07-10,426254,63301,,0.406,13
FS20166967,트랜스포머: 최후의 기사,TRANSFORMERS: THE LAST KNIGHT,2017-09-04,2017-06-21,423800,336279,,0.355,10
FS20178401,검객,The Swordsman,2020-10-29,2020-09-23,423787,407975,,0.5,7
FS20159644,봉이 김선달,Seondal: The Man who Sells the River,2016-08-03,2016-07-06,421586,392572,,0.566,9
